date,balance
2012-08-21,66040994206.0
2012-08-22,66296880044.0
2012-08-23,66540081295.0
2012-08-24,66288291361.0
2012-08-27,66038888761.0
2012-08-28,66237306881.0
2012-08-29,66291932988.0
2012-08-30,66144347307.0
2012-08-31,66209188228.0
2012-09-03,66633358658.0
2012-09-04,66902772779.0
2012-09-05,67284208895.0
2012-09-06,67631553297.0
2012-09-07,67319948568.0
2012-09-10,68173752753.0
2012-09-11,69244710353.0
2012-09-12,69949723588.0
2012-09-13,70355849122.0
2012-09-14,70305402987.0
2012-09-17,70860601456.0
2012-09-18,71210813918.0
2012-09-19,71571456979.0
2012-09-20,71941889893.0
2012-09-21,71871759154.0
2012-09-24,71972557788.0
2012-09-25,71616482926.0
2012-09-26,71471242717.0
2012-09-27,70442466545.0
2012-09-28,68538290872.0
2012-10-08,69654990487.0
2012-10-09,69948737767.0
2012-10-10,70842817454.0
2012-10-11,71502861597.0
2012-10-12,71672369875.0
2012-10-15,71950845633.0
2012-10-16,72060338778.0
2012-10-17,72588306966.0
2012-10-18,72514242070.0
2012-10-19,72249134294.0
2012-10-22,72853789156.0
2012-10-23,73504210603.0
2012-10-24,73855071224.0
2012-10-25,74346617401.0
2012-10-26,74955991905.0
2012-10-29,75447718812.0
2012-10-30,75299874932.0
2012-10-31,75271912639.0
2012-11-01,74884215424.0
2012-11-02,74769201278.0
2012-11-05,75124126617.0
2012-11-06,75493207256.0
2012-11-07,75654347590.0
2012-11-08,75477521025.0
2012-11-09,75179287155.0
2012-11-12,75248791835.0
2012-11-13,75387786337.0
2012-11-14,75505017608.0
2012-11-15,75578834753.0
2012-11-16,75617974730.0
2012-11-19,75915499427.0
2012-11-20,75988639643.0
2012-11-21,76136976581.0
2012-11-22,76133146921.0
2012-11-23,75850335563.0
2012-11-26,76011688598.0
2012-11-27,75815170192.0
2012-11-28,75526154263.0
2012-11-29,75118775546.0
2012-11-30,74745430443.0
2012-12-03,74323448125.0
2012-12-04,74097926271.0
2012-12-05,74279973381.0
2012-12-06,74807245591.0
2012-12-07,74721920107.0
2012-12-10,74907035646.0
2012-12-11,75621382709.0
2012-12-12,76308817031.0
2012-12-13,76675232645.0
2012-12-14,76841990009.0
2012-12-17,77941829766.0
2012-12-18,79083908399.0
2012-12-19,79930512752.0
2012-12-20,81012878370.0
2012-12-21,82193613893.0
2012-12-24,83128571132.0
2012-12-25,84124857765.0
2012-12-26,85047480750.0
2012-12-27,86032376941.0
2012-12-28,86130703115.0
2012-12-31,85694391725.0
2013-01-04,87884777907.0
2013-01-07,89981180175.0
2013-01-08,91390732860.0
2013-01-09,92539414024.0
2013-01-10,93754582204.0
2013-01-11,94368326203.0
2013-01-14,96293630272.0
2013-01-15,98145427976.0
2013-01-16,99582380948.0
